NGC_2362-1,-1,0.065,0.126,0.486,1.302,1.453,1.191,0.618,0.407,0.244,0.177,-1,-1
NGC_2362-2,-1,0.745,1.182,1.78,3.037,3.787,3.28,2.554,2.042,1.733,1.432,-1,-1
NGC_2362-3,-1,0.501,0.872,1.537,3.33,4.348,4.364,4.162,4,4.006,4.447,-1,-1
NGC_2362-4,-1,0.78,1.602,2.369,3.33,4.947,4.487,3.071,2.433,1.765,1.691,-1,-1
Orion-1,0.522,0.128,-1,0.608,0.702,1.27,1.2,1.7,2.64,4.23,13.2,44.2,-1
Orion-2,57.5,120,-1,511,860,987,887,444,386,333,268,214,-1
Orion-3,7.94,16.2,-1,71.9,129,175,169,150,141,124,160,-1,-1
Orion-4,-1,-1,-1,0.281,0.901,2.02,3.34,3.31,5.27,6.83,8.02,-1,-1
Orion-5,-1,1.36,-1,7.59,-1,33.9,50.1,211,318,431,608,-1,-1
Orion-6,0.0135,0.0288,-1,0.857,7.56,14.4,17.2,17.7,16.5,15.8,23.6,41.5,-1
Cepheus-1,9.8,20,31,47,79,90,74,56,43,33,42,230,300
Cepheus-2,0.3,3.7,15,25,35,42,34,17,12,7.7,4.9,1.9,-1
Cepheus-3,-1,-1,-1,-1,1.3,4,11,22,29,31,35,310,870
Cepheus-4,0.094,2.3,1.6,10,20,23,19,11,8.5,7.6,10,20,51
Cepheus-5,-1,-1,-1,23,35,38,32,20,17,15,19,22,-1
